name,creator,price,rating,ratingCount,salesCount,recommendation,affiliateRate,category,source,productUrl
"Notion Learning Roadmap","Easlo",0,801,801,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://TAdlY"
"Resolution Bundle","Easlo",0,753,753,,"HIGHLY RECOMMENDED","partner","tracker","notionstack_matched","https://gumroad.com/a/602107091/YkJkr"
"Twitter Growth Course","Hasan",0,752,752,,"RECOMMENDED","partner","template","gumroad_new","https://arisl"
"ChatGPT Power Course","Paul Couvert",0,746,746,,"RECOMMENDED","partner","template","gumroad_new","https://ueswo"
"Dynamic Habit Tracker","Chris",0,745,745,,"RECOMMENDED","partner","tracker","notionstack_matched","https://hsedo"
"1000+ Advanced ChatGPT-4 Prompts","D-Coder",5,691,691,,"RECOMMENDED","partner","template","gumroad_new","https://hkgcn"
"Notion Whole Life","Ahmed",5,639,639,563,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://fbbqmg"
"365+ Automation Templates","TheVeller",0,672,672,,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/661958867/jsrioe"
"200+ GPT o3-mini prompts to make you top 1% in email marketing","Pascio",0,637,637,670,"RECOMMENDED","partner","ai","notionstack_matched","https://uvbsks"
"Notion Fitness Planner","Chris",0,664,664,,"HIGHLY RECOMMENDED","partner","health & wellness","notionstack_matched","https://bnvsl"
"NOHEMI™ Typeface","Rajesh Rajput",9,655,655,,"RECOMMENDED","partner","template","gumroad_new","https://xughh"
"Creative Business Blueprint","Anna Hickman",0,659,659,,"RECOMMENDED","partner","template","gumroad_new","https://jfiqu"
"FREE Figma UI kit and design system – Untitled UI","Untitled UI",0,656,656,,"RECOMMENDED","partner","template","gumroad_new","https://aXjHbQ"
"600+ Notion Resources","TheVeller",0,643,643,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/661958867/fxdsd"
"Student Pack","Easlo",0,641,641,,"RECOMMENDED","partner","template","gumroad_new","https://PwtOI"
"2025 Dream Life Planner ♡ Simple & Aesthetic Notion Template","slow cozy kelly",18,620,620,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ctldh"
"122 Pages Weekly Planner Interior PDF for KDP Book Publishing","Paul Marles",0,598,598,,"RECOMMENDED","partner","template","gumroad_new","https://gdrtq"
"900+ AI and No Code Tools for Creators and Businesses","Sanat | The Accountant Guy (Finance Products)",0,559,559,710,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/402782931/deyzk"
"Subscription Tracker","Easlo",0,593,593,,"RECOMMENDED","partner","template","gumroad_new","https://vcfde"
"PARA Dashboard","Easlo",0,588,588,,"RECOMMENDED","partner","template","gumroad_new","https://vqvcuu"
"Big References database","artzarkua",0,585,585,,"RECOMMENDED","partner","template","gumroad_new","https://exwjb"
"AI Chatbot Mastery","Valdo",50,558,558,415,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://wrzob"
"Recursos para estudiantes y docentes","Planeta Notion",0,574,574,,"RECOMMENDED","partner","template","gumroad_new","https://huoxh"
"Essential Motion 2.0 - World-class Premiere Pro Motion Presets","Piotr Toczynski",10,548,548,243,"RECOMMENDED","partner","template","gumroad_new","https://ebfth"
"Notion Finance Tracker (old)","Chris",0,559,559,,"HIGHLY RECOMMENDED","partner","personal finance","notionstack_matched","https://vpbxe"
"Social Media pop up .PSD Template (Streamlabs OBS, OBS Studio)","Gael LEVEL",0,559,559,,"RECOMMENDED","partner","template","gumroad_new","https://ZZeSP"
"Notion Task Manager","Benny Kan",0,540,540,309,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://pifxs"
"Creator Brain: The Ultimate Second Brain for Notion + One-Person Business PDF","Karolis Piliponis",37,537,537,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://msszw"
"Finance OS Dashboard","Chris",0,501,501,798,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/376061651/fcufra"
"CRM Template","Easlo",9,533,533,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://bpvho"
"100 GPT o3-mini prompts for audience building","Pascio",50,502,502,512,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://zyuyc"
"ChatGPT Stock Trading Mastery","Valdo",50,509,509,324,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://uksht"
"Time Tracking Template","Easlo",0,501,501,,"RECOMMENDED","partner","template","gumroad_new","https://bjkia"
"Buttons Habit Tracker","Chris",0,496,496,,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/376061651/xskrq"
"Book Mockup Templates","Paul Marles",0,493,493,,"RECOMMENDED","partner","template","gumroad_new","https://cfelx"
"Meal Planner","Easlo",9,485,485,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://dDBhs"
"No Code Website Builder︱Prompt Pack","Valdo",50,476,476,15,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://vmubt"
"SEO Booster︱Prompt Pack","Valdo",50,441,441,529,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://haypdt"
"Book Tracker Notion Template","Tony David",0,462,462,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://xbpjv"
"200+ Money Making Schemes","TheVeller",0,460,460,,"RECOMMENDED","partner","template","gumroad_new","https://xibsnt"
"1001+ Artificial Intelligence Resources","TheVeller",0,460,460,,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/661958867/cfjxes"
"Content Calendar","Easlo",0,457,457,,"RECOMMENDED","partner","template","gumroad_new","https://wxtvs"
"Sticky Notes Dashboard","Poonam Sharma",0,455,455,,"RECOMMENDED","partner","template","gumroad_new","https://gutcgk"
"Ultimate Notion Workout Tracker","Bri",0,453,453,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://oywgrk"
"Second Brain Notion Template by Rosidssoy","Rosidssoy",0,446,446,116,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://zmmfv"
"FREE UX/UI Design Roadmap (2025)","Dyniza",0,451,451,,"RECOMMENDED","partner","template","gumroad_new","https://inzrq"
"ChatGPT Massive All-In-One Pack: 9000+ Prompts","Julian | Digital 🚀",0,406,406,824,"RECOMMENDED","partner","template","gumroad_new","https://vvrnn"
"420+ Marketing Resources","TheVeller",0,447,447,,"RECOMMENDED","partner","template","gumroad_new","https://ixvbo"
"Notion Finances Tracker","Pathpages",0,447,447,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ymvhk"
"Canva Mockup Templates for Notion Creators","Marlene Konu",0,441,441,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://pnmyw"
"ChatGPT-4o guide: Go from zero to hero","Ihtesham Haider",0,431,431,,"RECOMMENDED","partner","template","gumroad_new","https://faome"
"Notion Study Scheduler - Basic","Cajun Koi Academy",0,430,430,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://lryke"
"🐶 Bark - Text2Speech Voice Cloning","SERP AI",3,397,397,471,"RECOMMENDED","partner","template","gumroad_new","https://nxsst"
"Content Planner & Calendar - Notion template","Notion Everything",0,418,418,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://mrlcz"
"Movie & TV Show Tracker","Easlo",0,412,412,,"RECOMMENDED","partner","template","gumroad_new","https://rwfzr"
"Sistema de Notas de Ruben Loan - Notion Template","Ruben Loan",0,409,409,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://oSXuD"
"38000+ AI Tools Database","Altiam - AI PlanetX",0,373,373,675,"RECOMMENDED","partner","template","gumroad_new","https://kkkfda"
"500+ No-Code Tools","Hasan",0,403,403,,"RECOMMENDED","partner","template","gumroad_new","https://nohih"
"Professional Resume","Easlo Academy",0,400,400,,"RECOMMENDED","partner","template","gumroad_new","https://mckym"
"OKR Goal Tracker","Chris",0,399,399,,"RECOMMENDED","partner","template","gumroad_new","https://eeevz"
"Spotion Covers","minimalist tech",0,385,385,235,"RECOMMENDED","partner","template","gumroad_new","https://ltruo"
"Canva: Create and Sell templates","Ihtesham Haider",0,369,369,541,"RECOMMENDED","partner","template","gumroad_new","https://lumdk"
"220+ Developer Courses From Top Companies and Universities","Madza",12.99,391,391,,"RECOMMENDED","partner","template","gumroad_new","https://ityal"
"Notion Bullet Journal","Chris",0,393,393,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://dshyx"
"Project & Task Manager","Chris",0,391,391,,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/376061651/xnqns"
"The Creator Bundle","Karolis Piliponis",0,387,387,,"RECOMMENDED","partner","template","gumroad_new","https://omzez"
"Landing Page Prodigy︱Prompt Pack","Valdo",50,368,368,226,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://nhxgpv"
"100 ChatGPT prompts to learn how to close high ticket clients consistently","Pascio",0,384,384,,"RECOMMENDED","partner","template","gumroad_new","https://fzuukq"
"Log Book Interior Templates","Paul Marles",0,382,382,,"RECOMMENDED","partner","template","gumroad_new","https://MYlBp"
"List of 250+ Free Notion Templates","Pathpages",0,380,380,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://fslza"
"Back to School KDP Bundle","Paul Marles",0,380,380,,"RECOMMENDED","partner","template","gumroad_new","https://njcfgg"
"The Art Of ChatGPT Prompts","Madni Aghadi",0,371,371,,"RECOMMENDED","partner","template","gumroad_new","https://fjbrd"
"500+ Productivity Resources","TheVeller",0,370,370,,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/661958867/ezade"
"FREE Weekly Planner 🗓️","The Notion Girlie",0,367,367,,"RECOMMENDED","partner","template","gumroad_new","https://ymzakn"
"Life Planner 2024","Poonam Sharma",0,366,366,,"RECOMMENDED","partner","template","gumroad_new","https://rxipi"
"Jeff's Resumes (Free PDF Version)","Jeff Su",0,364,364,,"RECOMMENDED","partner","template","gumroad_new","https://vmmfvh"
"Essentials (Squared Graph Edition) - 550+ Digital Paper Templates for GoodNotes 6, Notability, Noteshelf & More!","Discover Notes",0,360,360,68,"RECOMMENDED","partner","template","gumroad_new","https://gbwte"
"Second Brain Template","Heyismail",0,330,330,586,"RECOMMENDED","partner","template","gumroad_new","https://piboc"
"+31 Free Low Content Book and Coloring Book Interior Templates for Amazon KDP","ShinyWords",0,357,357,,"RECOMMENDED","partner","template","gumroad_new","https://sbxhm"
"Google Ads 101 ChatGPT 2.0","Valdo",15,305,305,791,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://tywpz"
"UX Case Study Presentation Template","The Designership",0,349,349,,"RECOMMENDED","partner","template","gumroad_new","https://riows"
"ChatGPT Prompts + Resources","Barsee",0,347,347,,"RECOMMENDED","partner","template","gumroad_new","https://lnmxku"
"ThemesFree: Your Essential Toolkit for Creating a Custom Website","NFTBUZZ",0,344,344,,"RECOMMENDED","partner","template","gumroad_new","https://owmgvi"
"Notion World ∙ 150+ Resources to Master Notion","Notion Everything",0,343,343,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://wdxpo"
"A Productive Notion Daily Planner (2023 Version)","Jeff Su",0,340,340,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://obtwr"
"E-com Hero︱Prompt Pack","Valdo",50,332,332,42,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://hcwni"
"Essential Motion 3.1 - World-class Premiere Pro Motion Presets","Piotr Toczynski",10,314,314,399,"RECOMMENDED","partner","template","gumroad_new","https://gundi"
"Student Planner","Grace",0,330,330,,"RECOMMENDED","partner","template","gumroad_new","https://eehnqy"
"The Ultimate ChatGPT Business Course","donbader",0,323,323,2,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/1056835283/lwwgc"
"Green, Anime & Matcha Personal Home Dashboard","The Matcha Vibe",0,319,319,,"RECOMMENDED","partner","template","gumroad_new","https://cblng"
"Life Hub Notion Template","Sija",0,313,313,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://etdec"
"Instagram Content Creator Blueprint","D",0,312,312,,"RECOMMENDED","partner","template","gumroad_new","https://kptcx"
"The Design Manual (770+ pages and free bonuses)","uiadrian",59,285,285,395,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://pyvcd"
"Goal Tracker Spreadsheet ✿ Free","Pawfect Plan",0,306,306,,"RECOMMENDED","partner","template","gumroad_new","https://wnkrvq"
"Paper Pack","MaxPacks - Brushes for Procreate",10,300,300,,"RECOMMENDED","partner","template","gumroad_new","https://JatIH"
"Free Study & Revision Printables for Students","Emma Studies — Free Printables",0,301,301,,"RECOMMENDED","partner","template","gumroad_new","https://dtbwz"
"Student Workspace","Dave",0,270,270,542,"RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/620903123/lkAWX"
"UI Design Tips ($5) (ENG)","Michal Malewicz's UX/UI Masterclass",5,281,281,156,"RECOMMENDED","partner","template","gumroad_new","https://uwdgjJ"
"The All-in-One Travel Planner: A Notion Template for Travel Lovers","Andy Kan",3,239,239,980,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://mcsuy"
"Notion Project Manager","Hashim | Notion4Management",0,292,292,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gentz"
"Invoice Template","Easlo",0,291,291,,"RECOMMENDED","partner","freelance","notionstack_matched","https://oAOvg"
"Green & Matcha Student Planner","The Matcha Vibe",0,291,291,,"RECOMMENDED","partner","template","gumroad_new","https://elgrgj"
"1,100 Ways To Make Money with ChatGPT o3-mini","Pascio",0,277,277,193,"RECOMMENDED","partner","template","gumroad_new","https://jwfzoo"
"Animated Social Media Pop Up (After Effects Template .aep + Green Screen)","Gael LEVEL",0,286,286,,"RECOMMENDED","partner","template","gumroad_new","https://rLMku"
"ChatGPT All-In-One Complete Pack: 20.000+ Prompts","Julian | Digital 🚀",0,278,278,56,"RECOMMENDED","partner","template","gumroad_new","https://ztjzqy"
"𝕏 Business Mastery︱Prompt Pack","Valdo",100,273,273,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://skbvys"
"Amazon FBA 101 ChatGPT","Valdo",50,230,230,856,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://fpftu"
"Notion Life Planner for Free","Solt Wagner",0,277,277,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://tsjgzk"
"Second Brain","Easlo",79,269,269,59,"HIGHLY RECOMMENDED","partner","productivity","notionstack_matched","https://gumroad.com/a/602107091/qwzxl"
"250+ Graphic Design Resources","TheVeller",0,275,275,,"RECOMMENDED","partner","template","gumroad_new","https://sbdeih"
"Notion Creator Guide","Modest Mitkus",0,275,275,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://vtunc"
"Simple Project Management - Notion template","Notion Everything",0,272,272,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://jaees"
"Notion Project Management for Free","Solt Wagner",0,272,272,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ocfbzk"
"[FREE] The Life Notion Planner","Forward Planner",0,272,272,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://foetd"
"Jeff Su's Cover Letter Templates (PDF Version)","Jeff Su",0,270,270,,"RECOMMENDED","partner","template","gumroad_new","https://sxhvzp"
"Powerful GPT4 Business Prompts","Shruti Mishra",11,235,235,597,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://pgnhm"
"Notion Social Media Planner","Temply",0,264,264,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://uasff"
"ideate icons - minimal icon pack","Zesan / ideate design",49,255,255,,"RECOMMENDED","partner","template","gumroad_new","https://tytzg"
"UX Design Roadmap","Simonas Maciulis",10,211,211,845,"RECOMMENDED","partner","template","gumroad_new","https://coiwh"
"Notion HQ Dashboard","Chris",0,257,257,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ttcLRe"
"Notion Planner : Second  Brain 1.0","OlsNotion",0,257,257,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://xridey"
"Dictionary & Daily Quote Widget","smoul",0,211,211,847,"RECOMMENDED","partner","template","gumroad_new","https://wtzxx"
"100 Days of Code Journal","Tony David",0,252,252,,"RECOMMENDED","partner","template","gumroad_new","https://mkgui"
"Canva Tutorials, Tips & Tricks: Design Resource in Notion","Notion4Teachers",0,249,249,41,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ewvuv"
"Notion Creator Starter Kit for Free","Solt Wagner",0,251,251,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/883590867/tsmtel"
"Notion Planner Bundle | Daily, Weekly and Monthly Planner | 3 Dashboard","Poonam Sharma",0,233,233,357,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://aaqgyr"
"Producthunt Launch Checklist","Pascio",0,250,250,,"RECOMMENDED","partner","template","gumroad_new","https://zpcgt"
"500+ Places to Promote Your Startup","Data Nerd",0,204,204,887,"RECOMMENDED","partner","template","gumroad_new","https://jbpoy"
"Portfolio Website Template","Easlo",0,246,246,,"RECOMMENDED","partner","personal","notionstack_matched","https://ncigv"
"Notion Productivity Planners","Chris",4,189,189,996,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/376061651/qqlfr"
"ARCHIVED - ChatGPT Plugin Database [Complete List Of 1000+ Plugins]","ROI",29,223,223,309,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ladyo"
"Simple Second Brain for Notion","Ance",0,243,243,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://hhafjm"
"Simple Notion CRM","Chris",0,240,240,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://bsedx"
"1000+ Web Development Resources and Tools","Alamin Hossain",0,239,239,,"RECOMMENDED","partner","template","gumroad_new","https://ukpjn"
"Notion Subscription Tracker Template","Tony David",0,237,237,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://pyruy"
"1000 ChatGPT Sales Funnel Prompts","Miguel Anticona",0,182,182,1000,"RECOMMENDED","partner","template","gumroad_new","https://zvqlc"
"WordPress 101 ChatGPT","Valdo",50,182,182,851,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://bxwwj"
"The Twitter/X Content Planner","Felix' Digital Stash",1.99,49,49,3500,"RECOMMENDED","partner","template","gumroad_new","https://sffmz"
"Clarity","Phil Hagspiel",0,228,228,,"RECOMMENDED","partner","template","gumroad_new","https://rcdqn"
"ChatGPT Complete Teacher's Pack: 2500+ Expert Prompts","Julian | Digital 🚀",0,197,197,595,"RECOMMENDED","partner","template","gumroad_new","https://xrvnet"
"Original Period Tracker: A Notion Template","NellieNotion Templates Creator",0,225,225,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://qvkDV"
"Green, Anime & Matcha University Dashboard","The Matcha Vibe",0,224,224,,"RECOMMENDED","partner","template","gumroad_new","https://utccip"
"Brand Kit Workbook","Marlene Konu",0,222,222,,"RECOMMENDED","partner","template","gumroad_new","https://ogkrj"
"Trading Journal Pro Template - Notion & Excel","SOAMJENA",29,216,216,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://uqbnw"
"Notion Finance Tracker Template by Rosidssoy","Rosidssoy",0,190,190,586,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ybcmip"
"Notion Resources Guide Starter (Notion Template)","Marco Elizalde",10,192,192,423,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gqvrk"
"Notion Beginner Manual","Pascio",0,218,218,,"HIGHLY RECOMMENDED","partner","bundles","notionstack_matched","https://tityry"
"Workout Planner 2.0 💪🏻","OlsNotion",0,217,217,,"RECOMMENDED","partner","template","gumroad_new","https://ecwfv"
"Journal","Easlo",0,217,217,,"RECOMMENDED","partner","template","gumroad_new","https://hmsuy"
"Designer Portfolio (Notion Template)","Dyniza",15,210,210,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ptocw"
"The Ultimate Guide to Web Design (Landing Page UI Kit + Free Bonuses)","uiadrian",49,165,165,890,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://jtvgy"
"101 Notion Template Ideas You Can Create And Sell","iNotion",0,213,213,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/39386835/ocqitx"
"Notion Travel Planner","Benny Kan",5,178,178,599,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://qwpne"
"The Retro MaxPack - Brushes for Procreate","MaxPacks - Brushes for Procreate",25,207,207,,"RECOMMENDED","partner","template","gumroad_new","https://DIsLA"
"1000 ChatGPT Landing Page Prompts","Miguel Anticona",0,212,212,,"RECOMMENDED","partner","template","gumroad_new","https://tqebs"
"Mini Button Bundle","Felix' Digital Stash",0,37,37,3500,"RECOMMENDED","partner","template","gumroad_new","https://ejtiq"
"Get Things Done (GTD) and Second Brain Notion Template","Rosidssoy",0,180,180,635,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://bibfa"
"The Notion Game","Pascio",0,211,211,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://jwnde"
"Notion Personal Website Template","Easlo Academy",0,209,209,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gflwg"
"Notion Starter Kit for Free","Solt Wagner",0,209,209,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/883590867/bvyhy"
"專案管理：待辦事項和專案管理模板 | Notion Project Management Templates (新增自動化)","槓桿生活 | QQ",0,171,171,739,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ulpic"
"Viral Hooks Database | 70+ Hooks to go viral on Instagram","Karolis Piliponis",0,207,207,,"RECOMMENDED","partner","template","gumroad_new","https://yjfpr"
"Design Styles eBook English Version","Michal Malewicz's UX/UI Masterclass",6,159,159,842,"RECOMMENDED","partner","template","gumroad_new","https://IaceA"
"高效年度規劃時間管理系統 (2026版本)","槓桿生活 | QQ",0,182,182,441,"RECOMMENDED","partner","template","gumroad_new","https://kioyu"
"Super Life for Notion","MrPugo",49,198,198,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/274189523/rnwcve"
"Weekly Habit Tracker (Automated Notion Template)","Matt Bio",0,202,202,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://gumroad.com/a/346433235/sbsic"
"100+ Startup Roles Prompt Templates","TheVeller",0,201,201,,"RECOMMENDED","partner","template","gumroad_new","https://nvsdy"
"Notion Smart Goals Tracker","Atul's Notion",21,189,189,108,"HIGHLY RECOMMENDED","partner","tracker","notionstack_matched","https://ZUTkr"
"Notion Smart Goals Tracker","Atul's Notion",21,189,189,108,"HIGHLY RECOMMENDED","partner","personal finance","notionstack_matched","https://ZUTkr"
"160 ChatGPT prompts to build a $1,000,000/month high-ticket sales business in 180 days","iNotion",1,161,161,662,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://ahvap"
"The Simple Password Manager","Felix' Digital Stash",0,23,23,3500,"RECOMMENDED","partner","template","gumroad_new","https://vtfql"
"Sealed By The King - Intricate Patterns and Details Pointing to God's Inspiration over the 1611 Holy Bible in English (DIGITAL)","Truth is Christ",0,198,198,,"RECOMMENDED","partner","template","gumroad_new","https://ufrxi"
"OptiOpp CRM","Benjamin Taylor",0,198,198,,"RECOMMENDED","partner","template","gumroad_new","https://sikby"
"Habit Tracker","Champion Challander | Dashboards & Automations",15,155,155,745,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://yfmkc"
"UX Design 101 ChatGPT","Valdo",50,192,192,,"HIGHLY RECOMMENDED","partner","template","gumroad_new","https://jobtj"
