name,creator,price,rating,ratingCount,salesCount,type,subcategory,recommendation,affiliateRate,source,productUrl
"Dynamic Habit Tracker","Chris",0,745,745,,"course","dashboard","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/hsedo"
"Dynamic Habit Tracker","Chris",0,745,745,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/hsedo"
"Notion Whole Life","Ahmed",5,639,639,563,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fbbqmg"
"365+ Automation Templates","TheVeller",0,672,672,,"template","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/jsrioe"
"200+ GPT o3-mini prompts to make you top 1% in email marketing","Pascio",0,637,637,670,"course","second-brain","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/uvbsks"
"Notion Fitness Planner","Chris",0,664,664,,"course","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/bnvsl"
"Notion Fitness Planner","Chris",0,664,664,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/bnvsl"
"600+ Notion Resources","TheVeller",0,643,643,,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/fxdsd"
"2025 Dream Life Planner ♡ Simple & Aesthetic Notion Template","slow cozy kelly",18,620,620,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ctldh"
"900+ AI and No Code Tools for Creators and Businesses","Sanat | The Accountant Guy (Finance Products)",0,559,559,710,"tool","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/402782931/deyzk"
"Subscription Tracker","Easlo",0,593,593,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vcfde"
"PARA Dashboard","Easlo",0,588,588,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vqvcuu"
"Recursos para estudiantes y docentes","Planeta Notion",0,574,574,,"template","design","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/huoxh"
"Notion Finance Tracker (old)","Chris",0,559,559,,"course","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/vpbxe"
"Notion Finance Tracker (old)","Chris",0,559,559,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/vpbxe"
"Notion Task Manager","Benny Kan",0,540,540,309,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pifxs"
"Creator Brain: The Ultimate Second Brain for Notion + One-Person Business PDF","Karolis Piliponis",37,537,537,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/msszw"
"CRM Template","Easlo",9,533,533,,"template","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bpvho"
"100 GPT o3-mini prompts for audience building","Pascio",50,502,502,512,"course","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zyuyc"
"Time Tracking Template","Easlo",0,501,501,,"template","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bjkia"
"Buttons Habit Tracker","Chris",0,496,496,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/xskrq"
"Book Tracker Notion Template","Tony David",0,462,462,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xbpjv"
"Book Tracker Notion Template","Tony David",0,462,462,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/536495827/xbpjv"
"1001+ Artificial Intelligence Resources","TheVeller",0,460,460,,"tool","crm","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/cfjxes"
"Content Calendar","Easlo",0,457,457,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wxtvs"
"Sticky Notes Dashboard","Poonam Sharma",0,455,455,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gutcgk"
"Ultimate Notion Workout Tracker","Bri",0,453,453,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/oywgrk"
"Second Brain Notion Template by Rosidssoy","Rosidssoy",0,446,446,116,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zmmfv"
"FREE UX/UI Design Roadmap (2025)","Dyniza",0,451,451,,"course","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/inzrq"
"420+ Marketing Resources","TheVeller",0,447,447,,"tool","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ixvbo"
"Notion Finances Tracker","Pathpages",0,447,447,,"course","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ymvhk"
"420+ Marketing Resources","TheVeller",0,447,447,,"tool","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/ixvbo"
"Canva Mockup Templates for Notion Creators","Marlene Konu",0,441,441,,"tool","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pnmyw"
"ChatGPT-4o guide: Go from zero to hero","Ihtesham Haider",0,431,431,,"course","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/faome"
"Notion Study Scheduler - Basic","Cajun Koi Academy",0,430,430,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/lryke"
"Content Planner & Calendar - Notion template","Notion Everything",0,418,418,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mrlcz"
"Movie & TV Show Tracker","Easlo",0,412,412,,"template","tracker","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rwfzr"
"Sistema de Notas de Ruben Loan - Notion Template","Ruben Loan",0,409,409,,"template","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/oSXuD"
"Professional Resume","Easlo Academy",0,400,400,,"template","resume","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mckym"
"OKR Goal Tracker","Chris",0,399,399,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/eeevz"
"OKR Goal Tracker","Chris",0,399,399,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/eeevz"
"Spotion Covers","minimalist tech",0,385,385,235,"template","template","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ltruo"
"Canva: Create and Sell templates","Ihtesham Haider",0,369,369,541,"course","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/lumdk"
"Notion Bullet Journal","Chris",0,393,393,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/dshyx"
"Notion Bullet Journal","Chris",0,393,393,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/dshyx"
"Project & Task Manager","Chris",0,391,391,,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/xnqns"
"The Creator Bundle","Karolis Piliponis",0,387,387,,"template","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/omzez"
"100 ChatGPT prompts to learn how to close high ticket clients consistently","Pascio",0,384,384,,"course","crm","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fzuukq"
"List of 250+ Free Notion Templates","Pathpages",0,380,380,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fslza"
"500+ Productivity Resources","TheVeller",0,370,370,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/ezade"
"FREE Weekly Planner 🗓️","The Notion Girlie",0,367,367,,"tool","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ymzakn"
"Life Planner 2024","Poonam Sharma",0,366,366,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rxipi"
"ChatGPT Prompts + Resources","Barsee",0,347,347,,"tool","ai","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/lnmxku"
"Notion World ∙ 150+ Resources to Master Notion","Notion Everything",0,343,343,,"course","student","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wdxpo"
"A Productive Notion Daily Planner (2023 Version)","Jeff Su",0,340,340,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/obtwr"
"Green, Anime & Matcha Personal Home Dashboard","The Matcha Vibe",0,319,319,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/cblng"
"Life Hub Notion Template","Sija",0,313,313,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/etdec"
"Instagram Content Creator Blueprint","D",0,312,312,,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/kptcx"
"The All-in-One Travel Planner: A Notion Template for Travel Lovers","Andy Kan",3,239,239,980,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mcsuy"
"Notion Project Manager","Hashim | Notion4Management",0,292,292,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gentz"
"Green & Matcha Student Planner","The Matcha Vibe",0,291,291,,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/elgrgj"
"1,100 Ways To Make Money with ChatGPT o3-mini","Pascio",0,277,277,193,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jwfzoo"
"Notion Life Planner for Free","Solt Wagner",0,277,277,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/tsjgzk"
"Notion Life Planner for Free","Solt Wagner",0,277,277,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/tsjgzk"
"Second Brain","Easlo",79,269,269,59,"template","dashboard","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/602107091/qwzxl"
"Notion Creator Guide","Modest Mitkus",0,275,275,,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vtunc"
"Simple Project Management - Notion template","Notion Everything",0,272,272,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jaees"
"Notion Project Management for Free","Solt Wagner",0,272,272,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ocfbzk"
"[FREE] The Life Notion Planner","Forward Planner",0,272,272,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/foetd"
"Notion Project Management for Free","Solt Wagner",0,272,272,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/ocfbzk"
"Notion Social Media Planner","Temply",0,264,264,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/uasff"
"Notion HQ Dashboard","Chris",0,257,257,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ttcLRe"
"Notion Planner : Second  Brain 1.0","OlsNotion",0,257,257,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xridey"
"Notion HQ Dashboard","Chris",0,257,257,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/ttcLRe"
"100 Days of Code Journal","Tony David",0,252,252,,"template","design","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/mkgui"
"Canva Tutorials, Tips & Tricks: Design Resource in Notion","Notion4Teachers",0,249,249,41,"course","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ewvuv"
"Notion Creator Starter Kit for Free","Solt Wagner",0,251,251,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/tsmtel"
"Notion Planner Bundle | Daily, Weekly and Monthly Planner | 3 Dashboard","Poonam Sharma",0,233,233,357,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/aaqgyr"
"Producthunt Launch Checklist","Pascio",0,250,250,,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zpcgt"
"Portfolio Website Template","Easlo",0,246,246,,"course","design","RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/ncigv"
"Notion Productivity Planners","Chris",4,189,189,996,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/qqlfr"
"Simple Second Brain for Notion","Ance",0,243,243,,"tool","second-brain","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hhafjm"
"Simple Notion CRM","Chris",0,240,240,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bsedx"
"Simple Notion CRM","Chris",0,240,240,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/376061651/bsedx"
"1000+ Web Development Resources and Tools","Alamin Hossain",0,239,239,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ukpjn"
"Notion Subscription Tracker Template","Tony David",0,237,237,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pyruy"
"WordPress 101 ChatGPT","Valdo",50,182,182,851,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bxwwj"
"Clarity","Phil Hagspiel",0,228,228,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/rcdqn"
"Original Period Tracker: A Notion Template","NellieNotion Templates Creator",0,225,225,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qvkDV"
"Green, Anime & Matcha University Dashboard","The Matcha Vibe",0,224,224,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/utccip"
"Trading Journal Pro Template - Notion & Excel","SOAMJENA",29,216,216,,"tool","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/uqbnw"
"Notion Finance Tracker Template by Rosidssoy","Rosidssoy",0,190,190,586,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ybcmip"
"Notion Resources Guide Starter (Notion Template)","Marco Elizalde",10,192,192,423,"course","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gqvrk"
"Notion Beginner Manual","Pascio",0,218,218,,"course","crm","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/tityry"
"Workout Planner 2.0 💪🏻","OlsNotion",0,217,217,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ecwfv"
"Journal","Easlo",0,217,217,,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hmsuy"
"Designer Portfolio (Notion Template)","Dyniza",15,210,210,,"tool","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ptocw"
"101 Notion Template Ideas You Can Create And Sell","iNotion",0,213,213,,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/39386835/ocqitx"
"Notion Travel Planner","Benny Kan",5,178,178,599,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/qwpne"
"Mini Button Bundle","Felix' Digital Stash",0,37,37,3500,"template","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ejtiq"
"Get Things Done (GTD) and Second Brain Notion Template","Rosidssoy",0,180,180,635,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bibfa"
"The Notion Game","Pascio",0,211,211,,"course","finance","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jwnde"
"Notion Personal Website Template","Easlo Academy",0,209,209,,"template","personal","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/gflwg"
"Notion Starter Kit for Free","Solt Wagner",0,209,209,,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/bvyhy"
"專案管理：待辦事項和專案管理模板 | Notion Project Management Templates (新增自動化)","槓桿生活 | QQ",0,171,171,739,"template","ai","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ulpic"
"高效年度規劃時間管理系統 (2026版本)","槓桿生活 | QQ",0,182,182,441,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/kioyu"
"Super Life for Notion","MrPugo",49,198,198,,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/274189523/rnwcve"
"Weekly Habit Tracker (Automated Notion Template)","Matt Bio",0,202,202,,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/346433235/sbsic"
"100+ Startup Roles Prompt Templates","TheVeller",0,201,201,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/nvsdy"
"Notion Smart Goals Tracker","Atul's Notion",21,189,189,108,"template","tracker","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/ZUTkr"
"Notion Smart Goals Tracker","Atul's Notion",21,189,189,108,"template","tracker","HIGHLY RECOMMENDED","partner","notionstack_matched","https://gumroad.com/a/962870099/ZUTkr"
"160 ChatGPT prompts to build a $1,000,000/month high-ticket sales business in 180 days","iNotion",1,161,161,662,"template","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ahvap"
"160 ChatGPT prompts to build a $1,000,000/month high-ticket sales business in 180 days","iNotion",1,161,161,662,"template","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/39386835/ahvap"
"The Simple Password Manager","Felix' Digital Stash",0,23,23,3500,"template","ecommerce","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vtfql"
"OptiOpp CRM","Benjamin Taylor",0,198,198,,"template","crm","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/sikby"
"90+ Fill-In Social Media Hooks","Marlene Konu",0,194,194,,"template","content","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xsqyfh"
"OpenAI Cheat Sheet","Valdo",10,181,181,156,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pqizi"
"Notion Habit Tracker","Pathpages",0,193,193,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zdkme"
"Notion Book Tracker","Pathpages",0,191,191,,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/akftw"
"Free Exam Preparation & Revision Printables","Emma Studies — Free Printables",0,191,191,,"course","planner","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vjtod"
"Notion Finance Tracker Template","Eula",5,185,185,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/wqgre"
"Notion-style Icons - Free Set","Mary Amato",0,186,186,,"tool","design","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/pbmkt"
"Notion Planner : Second Brain 6.0 🧠","OlsNotion",79.99,178,178,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/txfwx"
"45+ Self-Promo Posts Templates","TheVeller",0,182,182,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/whgmyh"
"The Ultimate "That Girl" Personal Growth Planner | Aesthetic Notion Dashboard | 50% off Black Friday Deal","Maria Whitsett",27,137,137,733,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vlvnx"
"Notioly - 500+ Notion-style Illustrations","Mary Amato",39,172,172,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/dxsgg"
"Elizabeth's Book Notes Formula","Elizabeth Filips",0,177,177,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/veqls"
"The No Plan B Journey [NOTION TEMPLATE]: Pursue Your Plan A & Change Your Life In 6 Months","Elizabeth Chu",0,176,176,,"course","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zycgi"
"Headquarters Notion Productivity Template","Productive Setups",79,171,171,,"tool","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/hpqcg"
"Notion Widget Pack","Neon",2,120,120,999,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/vpqwd"
"Notion Social Media Planner","Pathpages",0,174,174,,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/zppxd"
"Freelance System","Heyismail",0,132,132,828,"tool","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/fejca"
"Fictional History Timeline","StoryFlint",0,173,173,,"template","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/jhSXWu"
"Simple CRM - Notion template","Notion Everything",0,172,172,,"template","crm","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/xsory"
"Notion Mood Tracker","Pathpages",0,171,171,,"course","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/okgnl"
"Starting A Digital Business Dashboard","iNotion",0,171,171,,"course","dashboard","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/39386835/rkfcam"
"BEST 150+ ENTREPRENEUR TOOLS FOR 2024","OlsNotion",0,170,2024170,,"tool","productivity","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/whsvqf"
"Notebook OS","TheVeller",15,165,165,,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/vzbdpb"
"Notion Ultimate Expense Tracker","Maestro",5,131,131,651,"template","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bkjsr"
"Superior Second Brain in Notion","Neon",5,134,134,556,"template","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/bmqob"
"Notion Student Dashboard & School Management","Solt Wagner",0,166,166,,"course","dashboard","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/883590867/acimj"
"250+ ChatGPT Plugins","TheVeller",0,164,164,,"tool","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/ehzdc"
"THE Skincare Template | Notion","Mir's Desk",0,134,134,600,"template","tracker","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/sefkd"
"Brain Dump ( Anime )","Poonam Sharma",0,164,164,,"template","second-brain","RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/cxmfb"
"100+ Notion Tips","TheVeller",0,163,163,,"template","template","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/661958867/sgjfg"
"Notion Beginner Bundle","Pathpages",0,162,162,,"tool","planner","HIGHLY RECOMMENDED","partner","gumroad_new","https://gumroad.com/a/962870099/byxrl"
